es,gn,notes
Tierra viejo,Yvy tuja,sintagma nominal
Necesito silla,Aikotevẽ Guapyha,frase: necesidad
Habitación nuevo,Kotý pyahu,sintagma nominal
Carne feo,So'o vai,sintagma nominal
Estrella grande,Mbyja guasu,sintagma nominal
Baño nuevo,Jahuha pyahu,sintagma nominal
Queso barato,Kesú hepy'ỹ,sintagma nominal
Quiero naranja,Aipota Narã yva,frase: deseo
Hombro,Atukupe,cuerpo
Gato violeta,Mbarakaja Hovyũ pytã,animal+color
Ciudad rápido,Táva pya'e,sintagma nominal
Mono azul,Karaí kavaju? Hovy,animal+color
Estrella bonito,Mbyja porã,sintagma nominal
Piña grande,Karapepẽ guasu,sintagma nominal
Colibrí violeta,Mainumby Hovyũ pytã,animal+color
Cerdo rápido,Kure pya'e,sintagma nominal
Tu tío,Nde Tío,posesivo+familia
Nuestro (excl.) abuela,Ore Jarýi,posesivo+familia
Lluvia lento,Ama mbeguemi,sintagma nominal
Zorro feo,Aguara vai,sintagma nominal
Huevo lento,Rupi'a mbeguemi,sintagma nominal
Harina nuevo,Harina pyahu,sintagma nominal
Yacaré caro,Jakare hepy,sintagma nominal
Pimienta rápido,Kỹikĩ pya'e,sintagma nominal
Colibrí grande,Mainumby guasu,sintagma nominal
Piso caro,Yvy hepy,sintagma nominal
Manzana,Yva pytã,alimento
Uva caro,Yva rykue hepy,sintagma nominal
Loro violeta,Tu'i Hovyũ pytã,animal+color
Café viejo,Kafe tuja,sintagma nominal
Plato,Atyha'i,hogar
Pato rápido,Pato pya'e,sintagma nominal
Nuestro vecino,Ñande Vecino,posesivo+familia
Cebolla lento,Sevolla mbeguemi,sintagma nominal
Mandioca feo,Mandi'o vai,sintagma nominal
Necesito sol,Aikotevẽ Kuarahy,frase: necesidad
Ajo bonito,Ajo porã,sintagma nominal
Águila naranja,Taguato Narã,animal+color
Necesito selva,Aikotevẽ Ka'aguasu,frase: necesidad
Calabaza,Kurapepẽ,verdura
Zorro viejo,Aguara tuja,sintagma nominal
Ciudad barato,Táva hepy'ỹ,sintagma nominal
Necesito baño,Aikotevẽ Jahuha,frase: necesidad
Mariposa bonito,Panambi porã,sintagma nominal
Cebolla caro,Sevolla hepy,sintagma nominal
Café nuevo,Kafe pyahu,sintagma nominal
Necesito patio,Aikotevẽ Kora,frase: necesidad
Aceite caro,Aceite hepy,sintagma nominal
Rosa,Pytã asy,color
Sopa caro,Sopa hepy,sintagma nominal
Cocina viejo,Kokina tuja,sintagma nominal
Olla bonito,Kyguãi porã,sintagma nominal
Mandioca barato,Mandi'o hepy'ỹ,sintagma nominal
Café feo,Kafe vai,sintagma nominal
Gato rosa,Mbarakaja Pytã asy,animal+color
Tenedor barato,Tenédor hepy'ỹ,sintagma nominal
Camino feo,Tape vai,sintagma nominal
Manzana nuevo,Yva pytã pyahu,sintagma nominal
Tierra barato,Yvy hepy'ỹ,sintagma nominal
Baño rápido,Jahuha pya'e,sintagma nominal
Dos,Mokõi,número
Mandarina,Mandarina,fruta
Zorrino rosa,Suru Pytã asy,animal+color
Armadillo lento,Tatu mbeguemi,sintagma nominal
Tomate caro,Tomáte hepy,sintagma nominal
Selva viejo,Ka'aguasu tuja,sintagma nominal
Carne barato,So'o hepy'ỹ,sintagma nominal
Colibrí viejo,Mainumby tuja,sintagma nominal
Corazón,Py'a,cuerpo
Gato nuevo,Mbarakaja pyahu,sintagma nominal
Escuchar,Hendu,verbo
De nada,Ndaipóri,cortesía
Sopa,Sopa,alimento
Mariposa rosa,Panambi Pytã asy,animal+color
Lápiz,Yvyra'i haiha,escuela
Aceite viejo,Aceite tuja,sintagma nominal
Hormiga azul,Tapi'í Hovy,animal+color
Sapo violeta,Kururu Hovyũ pytã,animal+color
Águila viejo,Taguato tuja,sintagma nominal
Puerta feo,Okẽ vai,sintagma nominal
Murciélago viejo,Mbopi tuja,sintagma nominal
Puerta nuevo,Okẽ pyahu,sintagma nominal
Tomate nuevo,Tomáte pyahu,sintagma nominal
Gato azul,Mbarakaja Hovy,animal+color
Pimiento,Pimiẽta,verdura
Perro,Jagua,animal
Árbol grande,Yvyra guasu,sintagma nominal
Quiero agua,Aipota Y,frase: deseo
Rojo,Pytã,color
Río grande,Ysyry guasu,sintagma nominal
Techo,Apytere,hogar
Ver,Hecha,verbo
Por favor,Ikatúpa,cortesía
Abeja naranja,Eíra Narã,animal+color
Loro rojo,Tu'i Pytã,animal+color
Mercado caro,Merkádo hepy,sintagma nominal
Papaya pequeño,Mamón michĩ,sintagma nominal
Camino caro,Tape hepy,sintagma nominal
Sapo rosa,Kururu Pytã asy,animal+color
Baño barato,Jahuha hepy'ỹ,sintagma nominal
Cuchara grande,Kucharã guasu,sintagma nominal
Plato nuevo,Atyha'i pyahu,sintagma nominal
Pájaro barato,Guyra hepy'ỹ,sintagma nominal
Silla caro,Guapyha hepy,sintagma nominal
Banana lento,Pakova mbeguemi,sintagma nominal
Zorro rápido,Aguara pya'e,sintagma nominal
Nuestro (excl.) hijo,Ore Ta'ýra,posesivo+familia
Colibrí barato,Mainumby hepy'ỹ,sintagma nominal
Arroz grande,Arro guasu,sintagma nominal
Abeja barato,Eíra hepy'ỹ,sintagma nominal
Árbol pequeño,Yvyra michĩ,sintagma nominal
Águila pequeño,Taguato michĩ,sintagma nominal
Árbol rápido,Yvyra pya'e,sintagma nominal
Baño pequeño,Jahuha michĩ,sintagma nominal
Queso pequeño,Kesú michĩ,sintagma nominal
Quiero sopa,Aipota Sopa,frase: deseo
Perro feo,Jagua vai,sintagma nominal
Mono nuevo,Karaí kavaju? pyahu,sintagma nominal
Zorro marrón,Aguara Hũ sa'yju,animal+color
Buho viejo,Urukure'a tuja,sintagma nominal
Murciélago violeta,Mbopi Hovyũ pytã,animal+color
Pimienta grande,Kỹikĩ guasu,sintagma nominal
Papa,Papa,verdura
Mariposa blanco,Panambi Morotĩ,animal+color
Tortuga nuevo,Karaí pyahu,sintagma nominal
Árbol,Yvyra,lugar/naturaleza
Necesito ventana,Aikotevẽ Ovetã,frase: necesidad
Banana caro,Pakova hepy,sintagma nominal
Yerba mate feo,Ka'a vai,sintagma nominal
Luna bonito,Jasy porã,sintagma nominal
Armadillo marrón,Tatu Hũ sa'yju,animal+color
Camino pequeño,Tape michĩ,sintagma nominal
Manzana pequeño,Yva pytã michĩ,sintagma nominal
Techo caro,Apytere hepy,sintagma nominal
Camino nuevo,Tape pyahu,sintagma nominal
Quiero pepino,Aipota Pepino,frase: deseo
Primo,Prímo,familia
Cebolla viejo,Sevolla tuja,sintagma nominal
Hormiga rosa,Tapi'í Pytã asy,animal+color
Hormiga violeta,Tapi'í Hovyũ pytã,animal+color
Zorrino,Suru,animal
Queso nuevo,Kesú pyahu,sintagma nominal
Pájaro,Guyra,animal
Mono grande,Karaí kavaju? guasu,sintagma nominal
Loro marrón,Tu'i Hũ sa'yju,animal+color
Lluvia bonito,Ama porã,sintagma nominal
Baño feo,Jahuha vai,sintagma nominal
Tortuga rápido,Karaí pya'e,sintagma nominal
Armadillo feo,Tatu vai,sintagma nominal
Mandioca bonito,Mandi'o porã,sintagma nominal
Lago rápido,Ypa pya'e,sintagma nominal
Silla lento,Guapyha mbeguemi,sintagma nominal
Tu hijo,Nde Ta'ýra,posesivo+familia
Mesa nuevo,Atyha pyahu,sintagma nominal
Vaca violeta,Vaka Hovyũ pytã,animal+color
Yerba mate bonito,Ka'a porã,sintagma nominal
Abeja lento,Eíra mbeguemi,sintagma nominal
Colibrí marrón,Mainumby Hũ sa'yju,animal+color
Murciélago verde,Mbopi Hovyũ,animal+color
Tortuga negro,Karaí Hũ,animal+color
Escuela caro,Mbo'ehao hepy,sintagma nominal
Colibrí bonito,Mainumby porã,sintagma nominal
Estrella caro,Mbyja hepy,sintagma nominal
Cerdo lento,Kure mbeguemi,sintagma nominal
Banana viejo,Pakova tuja,sintagma nominal
Yacaré lento,Jakare mbeguemi,sintagma nominal
Cuchillo viejo,Kuchillo tuja,sintagma nominal
Café lento,Kafe mbeguemi,sintagma nominal
Mono,Karaí kavaju?,animal
Oreja,Apysa,cuerpo
Lluvia feo,Ama vai,sintagma nominal
Mandioca viejo,Mandi'o tuja,sintagma nominal
Buho rosa,Urukure'a Pytã asy,animal+color
Escuela feo,Mbo'ehao vai,sintagma nominal
Arroz barato,Arro hepy'ỹ,sintagma nominal
Pimienta viejo,Kỹikĩ tuja,sintagma nominal
Manzana feo,Yva pytã vai,sintagma nominal
Camino bonito,Tape porã,sintagma nominal
Lapicera,Haiha,escuela
Plaza barato,Plása hepy'ỹ,sintagma nominal
Hormiga,Tapi'í,animal
Hospital bonito,Pohãno renda porã,sintagma nominal
Techo pequeño,Apytere michĩ,sintagma nominal
Mi vecino,Che Vecino,posesivo+familia
Espalda,Atukupe kupe,cuerpo
Luna lento,Jasy mbeguemi,sintagma nominal
Fruta caro,Yva hepy,sintagma nominal
Nuestro (excl.) primo,Ore Prímo,posesivo+familia
Zorro azul,Aguara Hovy,animal+color
Aceite bonito,Aceite porã,sintagma nominal
Olla nuevo,Kyguãi pyahu,sintagma nominal
Caballo caro,Kavaju hepy,sintagma nominal
Pájaro caro,Guyra hepy,sintagma nominal
Nos vemos,Jajohecha peve,despedida
Águila marrón,Taguato Hũ sa'yju,animal+color
Lechuza feo,Mbopi'i vai,sintagma nominal
Armadillo amarillo,Tatu Sa'yju,animal+color
Luna pequeño,Jasy michĩ,sintagma nominal
Cuchara caro,Kucharã hepy,sintagma nominal
Zorrino bonito,Suru porã,sintagma nominal
Carne caro,So'o hepy,sintagma nominal
Buho rojo,Urukure'a Pytã,animal+color
Tenedor lento,Tenédor mbeguemi,sintagma nominal
Yerba mate barato,Ka'a hepy'ỹ,sintagma nominal
Uva feo,Yva rykue vai,sintagma nominal
Cuchillo,Kuchillo,hogar
Quiero carne,Aipota So'o,frase: deseo
Naranja caro,Narã yva hepy,sintagma nominal
Agua feo,Y vai,sintagma nominal
Ventana viejo,Ovetã tuja,sintagma nominal
Caballo,Kavaju,animal
Pimienta,Kỹikĩ,alimento
Mi amigo,Che Angirũ,posesivo+familia
Azúcar lento,Azuka mbeguemi,sintagma nominal
Vaca negro,Vaka Hũ,animal+color
Mono pequeño,Karaí kavaju? michĩ,sintagma nominal
Río nuevo,Ysyry pyahu,sintagma nominal
Caballo marrón,Kavaju Hũ sa'yju,animal+color
Leche rápido,Kamby pya'e,sintagma nominal
Lechuza rosa,Mbopi'i Pytã asy,animal+color
Águila bonito,Taguato porã,sintagma nominal
Sal lento,Juky mbeguemi,sintagma nominal
Olla viejo,Kyguãi tuja,sintagma nominal
Mercado viejo,Merkádo tuja,sintagma nominal
Abeja grande,Eíra guasu,sintagma nominal
Loro negro,Tu'i Hũ,animal+color
Vaso nuevo,Hy'áiha pyahu,sintagma nominal
Pera,Perá,fruta
Vaso grande,Hy'áiha guasu,sintagma nominal
Frutilla,Frutilla,fruta
Piso nuevo,Yvy pyahu,sintagma nominal
Campo pequeño,Okára michĩ,sintagma nominal
Vaca grande,Vaka guasu,sintagma nominal
Patio,Kora,hogar
Lechuza amarillo,Mbopi'i Sa'yju,animal+color
Pájaro verde,Guyra Hovyũ,animal+color
Zorro bonito,Aguara porã,sintagma nominal
Hormiga bonito,Tapi'í porã,sintagma nominal
Aceite feo,Aceite vai,sintagma nominal
Verde,Hovyũ,color
Esposo,Ména,familia
Zorrino barato,Suru hepy'ỹ,sintagma nominal
Azúcar rápido,Azuka pya'e,sintagma nominal
Maestro,Mbo'ehára,escuela
Lechuza caro,Mbopi'i hepy,sintagma nominal
Caballo azul,Kavaju Hovy,animal+color
Banana bonito,Pakova porã,sintagma nominal
Arroz pequeño,Arro michĩ,sintagma nominal
Buho lento,Urukure'a mbeguemi,sintagma nominal
Naranja barato,Narã yva hepy'ỹ,sintagma nominal
Huevo pequeño,Rupi'a michĩ,sintagma nominal
Tortuga pequeño,Karaí michĩ,sintagma nominal
Harina rápido,Harina pya'e,sintagma nominal
Huevo nuevo,Rupi'a pyahu,sintagma nominal
Lechuza rápido,Mbopi'i pya'e,sintagma nominal
Murciélago blanco,Mbopi Morotĩ,animal+color
Sandía barato,Sandía hepy'ỹ,sintagma nominal
Sapo naranja,Kururu Narã,animal+color
Estrella viejo,Mbyja tuja,sintagma nominal
Mercado lento,Merkádo mbeguemi,sintagma nominal
Ventana caro,Ovetã hepy,sintagma nominal
Murciélago amarillo,Mbopi Sa'yju,animal+color
Recordar,Mandu'a,verbo
Pato violeta,Pato Hovyũ pytã,animal+color
Escuela bonito,Mbo'ehao porã,sintagma nominal
Cocina rápido,Kokina pya'e,sintagma nominal
Habitación grande,Kotý guasu,sintagma nominal
Zorrino rápido,Suru pya'e,sintagma nominal
Ciudad caro,Táva hepy,sintagma nominal
Campo rápido,Okára pya'e,sintagma nominal
Pollo bonito,Ryguasu so'o porã,sintagma nominal
Nuestro hija,Ñande Rajy,posesivo+familia
Tereré nuevo,Tereré pyahu,sintagma nominal
Vaca,Vaka,animal
Tereré barato,Tereré hepy'ỹ,sintagma nominal
Pollo viejo,Ryguasu so'o tuja,sintagma nominal
Quiero repollo,Aipota Repollo,frase: deseo
Techo rápido,Apytere pya'e,sintagma nominal
Pájaro viejo,Guyra tuja,sintagma nominal
Pato nuevo,Pato pyahu,sintagma nominal
Pato blanco,Pato Morotĩ,animal+color
Sandía feo,Sandía vai,sintagma nominal
Carne grande,So'o guasu,sintagma nominal
Gato bonito,Mbarakaja porã,sintagma nominal
Nuestro abuelo,Ñande Taitaguasu,posesivo+familia
Mono naranja,Karaí kavaju? Narã,animal+color
Café barato,Kafe hepy'ỹ,sintagma nominal
Mariposa grande,Panambi guasu,sintagma nominal
Yacaré bonito,Jakare porã,sintagma nominal
Sapo lento,Kururu mbeguemi,sintagma nominal
Pollo feo,Ryguasu so'o vai,sintagma nominal
Quiero maíz,Aipota Avati,frase: deseo
Tu madre,Nde Sy,posesivo+familia
Selva feo,Ka'aguasu vai,sintagma nominal
Tortuga caro,Karaí hepy,sintagma nominal
Piso grande,Yvy guasu,sintagma nominal
Vaca naranja,Vaka Narã,animal+color
Loro amarillo,Tu'i Sa'yju,animal+color
Mandioca caro,Mandi'o hepy,sintagma nominal
Nueve,Porundy,número
Yacaré grande,Jakare guasu,sintagma nominal
Mariposa viejo,Panambi tuja,sintagma nominal
Fruta nuevo,Yva pyahu,sintagma nominal
Ajo caro,Ajo hepy,sintagma nominal
Azúcar barato,Azuka hepy'ỹ,sintagma nominal
Puerta viejo,Okẽ tuja,sintagma nominal
Gato feo,Mbarakaja vai,sintagma nominal
Zorrino viejo,Suru tuja,sintagma nominal
Zorrino negro,Suru Hũ,animal+color
Abeja feo,Eíra vai,sintagma nominal
Quiero banana,Aipota Pakova,frase: deseo
Buho verde,Urukure'a Hovyũ,animal+color
Nuestro hijo,Ñande Ta'ýra,posesivo+familia
Tío,Tío,familia
Comer,Karu,verbo
Hospital viejo,Pohãno renda tuja,sintagma nominal
Mono caro,Karaí kavaju? hepy,sintagma nominal
Zorrino feo,Suru vai,sintagma nominal
Murciélago barato,Mbopi hepy'ỹ,sintagma nominal
Tu padre,Nde Túva,posesivo+familia
Mono feo,Karaí kavaju? vai,sintagma nominal
Mono rojo,Karaí kavaju? Pytã,animal+color
Mono verde,Karaí kavaju? Hovyũ,animal+color
Tereré bonito,Tereré porã,sintagma nominal
Sapo amarillo,Kururu Sa'yju,animal+color
Estrella,Mbyja,lugar/naturaleza
Nuestro (excl.) prima,Ore Príma,posesivo+familia
Nuestro prima,Ñande Príma,posesivo+familia
Gallina blanco,Ryguasu Morotĩ,animal+color
Sapo grande,Kururu guasu,sintagma nominal
Amigo,Angirũ,familia
Quiero yerba mate,Aipota Ka'a,frase: deseo
Águila rosa,Taguato Pytã asy,animal+color
Silla nuevo,Guapyha pyahu,sintagma nominal
Tereré grande,Tereré guasu,sintagma nominal
Gato,Mbarakaja,animal
Sal,Juky,alimento
Loro naranja,Tu'i Narã,animal+color
Loro viejo,Tu'i tuja,sintagma nominal
Zorro rojo,Aguara Pytã,animal+color
Repollo,Repollo,verdura
Harina pequeño,Harina michĩ,sintagma nominal
Harina lento,Harina mbeguemi,sintagma nominal
Sal grande,Juky guasu,sintagma nominal
Caballo violeta,Kavaju Hovyũ pytã,animal+color
Cerdo bonito,Kure porã,sintagma nominal
Vaca amarillo,Vaka Sa'yju,animal+color
Fuego lento,Tata mbeguemi,sintagma nominal
Zorrino azul,Suru Hovy,animal+color
Tenedor rápido,Tenédor pya'e,sintagma nominal
Pato bonito,Pato porã,sintagma nominal
Mariposa amarillo,Panambi Sa'yju,animal+color
Pez bonito,Pira porã,sintagma nominal
Plaza,Plása,lugar/naturaleza
Sapo rojo,Kururu Pytã,animal+color
Yacaré viejo,Jakare tuja,sintagma nominal
Banana grande,Pakova guasu,sintagma nominal
Campo nuevo,Okára pyahu,sintagma nominal
Yacaré amarillo,Jakare Sa'yju,animal+color
Leche,Kamby,alimento
Gallina viejo,Ryguasu tuja,sintagma nominal
Lechuza,Mbopi'i,animal
Tereré caro,Tereré hepy,sintagma nominal
Diente,Tã,cuerpo
Aceite pequeño,Aceite michĩ,sintagma nominal
Gato negro,Mbarakaja Hũ,animal+color
Pollo barato,Ryguasu so'o hepy'ỹ,sintagma nominal
Perro lento,Jagua mbeguemi,sintagma nominal
Viento pequeño,Yvytu michĩ,sintagma nominal
Clase,Mbo'epy,escuela
Papaya nuevo,Mamón pyahu,sintagma nominal
Sapo bonito,Kururu porã,sintagma nominal
Cerdo pequeño,Kure michĩ,sintagma nominal
Queso rápido,Kesú pya'e,sintagma nominal
Loro barato,Tu'i hepy'ỹ,sintagma nominal
Pato caro,Pato hepy,sintagma nominal
Águila rápido,Taguato pya'e,sintagma nominal
Carne,So'o,alimento
Ciudad feo,Táva vai,sintagma nominal
Mariposa azul,Panambi Hovy,animal+color
Café grande,Kafe guasu,sintagma nominal
Sandía lento,Sandía mbeguemi,sintagma nominal
Lluvia pequeño,Ama michĩ,sintagma nominal
Café,Kafe,alimento
Huevo viejo,Rupi'a tuja,sintagma nominal
Arroz caro,Arro hepy,sintagma nominal
Ciudad bonito,Táva porã,sintagma nominal
Habitación lento,Kotý mbeguemi,sintagma nominal
Estrella feo,Mbyja vai,sintagma nominal
Tierra feo,Yvy vai,sintagma nominal
Armadillo verde,Tatu Hovyũ,animal+color
Vaca caro,Vaka hepy,sintagma nominal
Buho azul,Urukure'a Hovy,animal+color
Loro grande,Tu'i guasu,sintagma nominal
Naranja grande,Narã yva guasu,sintagma nominal
Azúcar feo,Azuka vai,sintagma nominal
Mi esposo,Che Ména,posesivo+familia
Pan nuevo,Mbujapé pyahu,sintagma nominal
Murciélago grande,Mbopi guasu,sintagma nominal
Selva lento,Ka'aguasu mbeguemi,sintagma nominal
Selva caro,Ka'aguasu hepy,sintagma nominal
Luna nuevo,Jasy pyahu,sintagma nominal
Abeja rojo,Eíra Pytã,animal+color
Cebolla rápido,Sevolla pya'e,sintagma nominal
Murciélago naranja,Mbopi Narã,animal+color
Gallina violeta,Ryguasu Hovyũ pytã,animal+color
Luna rápido,Jasy pya'e,sintagma nominal
Quiero sal,Aipota Juky,frase: deseo
Manzana lento,Yva pytã mbeguemi,sintagma nominal
Pan,Mbujapé,alimento
Hija,Rajy,familia
Azúcar bonito,Azuka porã,sintagma nominal
Buho barato,Urukure'a hepy'ỹ,sintagma nominal
Zorro,Aguara,animal
Necesito río,Aikotevẽ Ysyry,frase: necesidad
Cinco,Po,número
Tu hija,Nde Rajy,posesivo+familia
Campo feo,Okára vai,sintagma nominal
Sandía bonito,Sandía porã,sintagma nominal
Perro marrón,Jagua Hũ sa'yju,animal+color
Mesa viejo,Atyha tuja,sintagma nominal
Abeja blanco,Eíra Morotĩ,animal+color
Campo,Okára,lugar/naturaleza
Mercado pequeño,Merkádo michĩ,sintagma nominal
Quiero cebolla,Aipota Sevolla,frase: deseo
Armadillo viejo,Tatu tuja,sintagma nominal
Abuelo,Taitaguasu,familia
Pato lento,Pato mbeguemi,sintagma nominal
Mano,Po,cuerpo
Yacaré negro,Jakare Hũ,animal+color
Abeja amarillo,Eíra Sa'yju,animal+color
Viento grande,Yvytu guasu,sintagma nominal
Tu amigo,Nde Angirũ,posesivo+familia
Baño caro,Jahuha hepy,sintagma nominal
Uva pequeño,Yva rykue michĩ,sintagma nominal
Vaso caro,Hy'áiha hepy,sintagma nominal
Quiero fruta,Aipota Yva,frase: deseo
Abrir,Pe'a,verbo
Hospital barato,Pohãno renda hepy'ỹ,sintagma nominal
Tomate bonito,Tomáte porã,sintagma nominal
Cuchillo pequeño,Kuchillo michĩ,sintagma nominal
Caminar,Guata,verbo
Mercado rápido,Merkádo pya'e,sintagma nominal
Pájaro lento,Guyra mbeguemi,sintagma nominal
Ocho,Poapy,número
Quiero harina,Aipota Harina,frase: deseo
Quiero aceite,Aipota Aceite,frase: deseo
Sal rápido,Juky pya'e,sintagma nominal
Gallina rojo,Ryguasu Pytã,animal+color
Sal barato,Juky hepy'ỹ,sintagma nominal
Lechuza naranja,Mbopi'i Narã,animal+color
Gallina,Ryguasu,animal
Tereré pequeño,Tereré michĩ,sintagma nominal
Casa bonito,Óga porã,sintagma nominal
Tu esposo,Nde Ména,posesivo+familia
Cocina nuevo,Kokina pyahu,sintagma nominal
Tereré lento,Tereré mbeguemi,sintagma nominal
Colibrí naranja,Mainumby Narã,animal+color
Vaso pequeño,Hy'áiha michĩ,sintagma nominal
Mesa feo,Atyha vai,sintagma nominal
Piso,Yvy,hogar
Mi tía,Che Tía,posesivo+familia
Arroz viejo,Arro tuja,sintagma nominal
Zorro rosa,Aguara Pytã asy,animal+color
Papaya grande,Mamón guasu,sintagma nominal
Lluvia viejo,Ama tuja,sintagma nominal
Pez viejo,Pira tuja,sintagma nominal
Hormiga caro,Tapi'í hepy,sintagma nominal
Pato naranja,Pato Narã,animal+color
Vaso feo,Hy'áiha vai,sintagma nominal
Pollo lento,Ryguasu so'o mbeguemi,sintagma nominal
Iglesia grande,Tupao guasu,sintagma nominal
Árbol feo,Yvyra vai,sintagma nominal
Perro naranja,Jagua Narã,animal+color
Tenedor bonito,Tenédor porã,sintagma nominal
Vaca blanco,Vaka Morotĩ,animal+color
Mandioca,Mandi'o,alimento
Selva barato,Ka'aguasu hepy'ỹ,sintagma nominal
Leche feo,Kamby vai,sintagma nominal
Tortuga marrón,Karaí Hũ sa'yju,animal+color
Vaca azul,Vaka Hovy,animal+color
Marrón,Hũ sa'yju,color
Mono negro,Karaí kavaju? Hũ,animal+color
Hospital rápido,Pohãno renda pya'e,sintagma nominal
Cuchara bonito,Kucharã porã,sintagma nominal
Cerdo barato,Kure hepy'ỹ,sintagma nominal
Buenas noches,Pyhare porã,saludo
Necesito tenedor,Aikotevẽ Tenédor,frase: necesidad
Huevo,Rupi'a,alimento
Piso barato,Yvy hepy'ỹ,sintagma nominal
Beber,U,verbo
Gallina barato,Ryguasu hepy'ỹ,sintagma nominal
Tarea,Mba'apo róga,escuela
Hospital lento,Pohãno renda mbeguemi,sintagma nominal
Hormiga pequeño,Tapi'í michĩ,sintagma nominal
Escuela lento,Mbo'ehao mbeguemi,sintagma nominal
Pájaro nuevo,Guyra pyahu,sintagma nominal
Poroto,Kumanda,verdura
Necesito tierra,Aikotevẽ Yvy,frase: necesidad
Tenedor nuevo,Tenédor pyahu,sintagma nominal
Zorro naranja,Aguara Narã,animal+color
Lechuza blanco,Mbopi'i Morotĩ,animal+color
Mono rosa,Karaí kavaju? Pytã asy,animal+color
Sapo viejo,Kururu tuja,sintagma nominal
Sol grande,Kuarahy guasu,sintagma nominal
Mandioca rápido,Mandi'o pya'e,sintagma nominal
Habitación barato,Kotý hepy'ỹ,sintagma nominal
